,,,,,,,,,,,SalesReport,,,,,,,,,,,,,
,,,No of Invoices,,No of Recipients for Invoices,Total Invoice Value,,,Total Taxable Value for Invoices,,Total SGST/UTGST for Invoices,,Total CGST for Invoices,,Total IGST for Invoices,,Total CESS for Invoices,,Total Additional CESS for Invoices,,,,,
,,,2517,,3,1033947.87,,,964198.06,,34610.81,,34610.81,,0,,528.04,,0.15,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,No of Memo,,No of Recipient for Memo,Total Memo Value,,,Total Taxable Val for Memo,,Total SGST/UTGST for Memo,,Total CGST for Memo,,Total IGST for Memo,,Total CESS for Memo,,Total Additional CESS for Memo,,,,,
,,,0,,0,0,,,0,,0,,0,,0,,0,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
71,,Dunzo,4121022502,0,01-02-2022,1996,,Splenda Packets 100 Gms,1996,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,4,499,Cash
72,,,4121022503,0,01-02-2022,60,,Apple S,60,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,60,Cash
73,,,4121022504,0,01-02-2022,135,,London dairy sorbet mango,135,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,135,Cash
74,,,4121022505,0,01-02-2022,200,1905,Cocoa Multigran Bread W/Flax Sesame Melon 400gm,80,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,80,Cash
75,,,4121022505,0,01-02-2022,200,,Waffle Chips Milk Drizzle 85 gm,101.7,9.00%,9.15,9.00%,9.15,-,-,-,-,-,-,27,PC,1,120,Cash
76,,,4121022506,0,01-02-2022,574,,Barilla Lasagne Semola Eggless Pasta500g,445.54,6.00%,26.73,6.00%,26.73,-,-,-,-,-,-,27,PC,1,499,Cash
77,,,4121022506,0,01-02-2022,574,1905,Fiesta Hot Dog Bread,75,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,3,25,Cash
78,,Dunzo,4121022507,0,01-02-2022,1725,8132000,Rostaa Healthy Mix 340g,607.16,6.00%,36.42,6.00%,36.42,-,-,-,-,-,-,27,PC,1,680,Cash
79,,Dunzo,4121022507,0,01-02-2022,1725,,Tiffany Sugarfree Lemon,190.68,9.00%,17.16,9.00%,17.16,-,-,-,-,-,-,27,PC,1,225,Cash
80,,Dunzo,4121022507,0,01-02-2022,1725,20081990, Tong Garden Wasabi green peas 500 g,285.72,6.00%,17.14,6.00%,17.14,-,-,-,-,-,-,27,PC,1,320,Cash
81,,Dunzo,4121022507,0,01-02-2022,1725,1902,Epigamia Greek Yogurt Alphonso Mango 90G,142.86,2.50%,3.57,2.50%,3.57,-,-,-,-,-,-,27,PC,3,50,Cash
82,,Dunzo,4121022507,0,01-02-2022,1725,,Epigamia NAS Mango,104.78,2.50%,2.61,2.50%,2.61,-,-,-,-,-,-,27,PC,2,55,Cash
83,,Dunzo,4121022507,0,01-02-2022,1725,,Phab Protein Bar Mocha Nut Fudge 35gm,101.7,9.00%,9.15,9.00%,9.15,-,-,-,-,-,-,27,PC,1,120,Cash
